Building_ID,Coordinates,TopView_Image,Building_Height,Building_Type,Width
B048,"12.964798,77.589776",images/bloomington22.jpg,25,Corporate,16.9
B049,"12.973116,77.592869",images/bloomington23.jpg,19,Residential,10.1
B050,"12.967526,77.591256",images/bloomington24.jpg,27,Residential,8.9
B051,"12.965707,77.586866",images/bloomington25.jpg,21,Residential,13.2
B052,"12.980469,77.585886",images/bloomington26.jpg,29,Corporate,16.1
B053,"12.971099,77.602507",images/bloomington27.jpg,14,Corporate,16.2
B054,"12.975249,77.58766",images/bloomington28.jpg,20,Residential,10.4
B055,"12.977487,77.591067",images/bloomington29.jpg,11,Residential,9.7
B056,"12.965456,77.601985",images/bloomington3.jpg,18,Residential,13.9
B057,"12.964638,77.58667",images/bloomington30.jpg,18,Residential,14.4
B058,"12.97713,77.592107",images/bloomington31.jpg,33,Corporate,16
B059,"12.980439,77.596263",images/bloomington32.jpg,21,Residential,12.1
B060,"12.972095,77.585965",images/bloomington33.jpg,36,Residential,12.7
B061,"12.968656,77.59188",images/bloomington34.jpg,19,Residential,9.9
B062,"12.979804,77.588929",images/bloomington35.jpg,24,Corporate,15.7
B063,"12.971556,77.602497",images/bloomington36.jpg,15,Residential,14.2
B064,"12.962486,77.601578",images/bloomington4.jpg,14,Residential,14.7
B065,"12.974566,77.596612",images/bloomington5.jpg,22,Residential,11.7
B066,"12.974758,77.599822",images/bloomington6.jpg,16,Residential,14.4
B067,"12.979797,77.589781",images/bloomington7.jpg,23,Residential,13.6
B068,"12.967173,77.590315",images/bloomington8.jpg,12,Residential,9.5
B069,"12.972063,77.589531",images/bloomington9.jpg,26,Residential,12
B070,"12.977678,77.594455",images/innsb.jpg,18,Residential,8.9
B071,"12.961987,77.604489",images/innsbruc.jpg,29,Corporate,15.6
B072,"12.98115,77.593453",images/innsbruck.jpg,35,Corporate,17.7
B073,"12.980863,77.596343",images/innsbruck1.jpg,31,Corporate,15.3
B074,"12.978339,77.589769",images/innsbruck10.jpg,13,Residential,14.7
B075,"12.967937,77.601981",images/innsbruck11.jpg,32,Residential,9.5
B076,"12.968988,77.603305",images/innsbruck12.jpg,36,Corporate,17.3
B077,"12.965966,77.585005",images/innsbruck13.jpg,13,Corporate,16.3
B078,"12.980177,77.589509",images/innsbruck14.jpg,25,Residential,11.9
B079,"12.968358,77.587821",images/innsbruck15.jpg,21,Residential,10.3
B080,"12.975933,77.602464",images/innsbruck16.jpg,15,Residential,14.7
B081,"12.961743,77.598095",images/innsbruck17.jpg,20,Corporate,17.3
B082,"12.963779,77.590614",images/innsbruck18.jpg,37,Residential,14.2
B083,"12.965826,77.59299",images/innsbruck19.jpg,19,Residential,10.8
B084,"12.973644,77.597618",images/innsbruck2.jpg,17,Corporate,17.3
B085,"12.969614,77.595",images/innsbruck20.jpg,27,Corporate,15.8
B086,"12.964399,77.596116",images/innsbruck21.jpg,26,Corporate,15.8
B087,"12.966086,77.597748",images/innsbruck22.jpg,11,Residential,11.5
B088,"12.961928,77.603522",images/innsbruck23.jpg,36,Residential,11.6
B089,"12.964063,77.589927",images/innsbruck24.jpg,28,Corporate,16.5
B090,"12.97212,77.589664",images/innsbruck25.jpg,38,Residential,8.6
B091,"12.974438,77.597166",images/innsbruck26.jpg,29,Residential,14.1
B092,"12.9716,77.595857",images/innsbruck27.jpg,12,Residential,13.1
B093,"12.965327,77.603431",images/innsbruck3.jpg,31,Residential,9.7
B094,"12.963335,77.598534",images/innsbruck4.jpg,23,Residential,11.9
B095,"12.973082,77.586858",images/innsbruck5.jpg,16,Residential,11.9
B096,"12.962599,77.592375",images/innsbruck6.jpg,21,Residential,12.6
B097,"12.979807,77.604149",images/innsbruck7.jpg,18,Corporate,17.2
B098,"12.963807,77.591712",images/innsbruck8.jpg,11,Corporate,16.6
B099,"12.977922,77.594852",images/innsbruck9.jpg,37,Residential,12
B100,"12.961716,77.596454",images/insbruck5.jpg,18,Residential,13.2
