Building_ID,Coordinates,TopView_Image,Building_Height,Building_Type,Width
B028,"12.96512,77.598259",cropped_images/bellingham36.jpg,26,Residential,13.5
B029,"12.975332,77.595724",cropped_images/bellingham5.jpg,18,Residential,11.5
B030,"12.966365,77.596969",cropped_images/bellingham6.jpg,17,Residential,15.2
B031,"12.969576,77.584934",cropped_images/bellingham7.jpg,35,Corporate,16.4
B032,"12.963018,77.599895",cropped_images/bellingham8.jpg,39,Residential,9.7
B033,"12.977512,77.593971",cropped_images/bellingham9.jpg,23,Corporate,13.4
B034,"12.970271,77.597566",cropped_images/bloomington1.jpg,17,Residential,17.0
B035,"12.963991,77.58848",cropped_images/bloomington10.jpg,24,Corporate,13.7
B036,"12.971206,77.602982",cropped_images/bloomington11.jpg,29,Residential,15.0
B037,"12.966927,77.589661",cropped_images/bloomington12.jpg,16,Residential,12.7
B038,"12.974112,77.591597",cropped_images/bloomington13.jpg,17,Corporate,11.0
B039,"12.981156,77.599563",cropped_images/bloomington14.jpg,17,Corporate,16.2
B040,"12.980547,77.594739",cropped_images/bloomington15.jpg,14,Corporate,9.8
B041,"12.972401,77.594621",cropped_images/bloomington16.jpg,16,Residential,12.6
B042,"12.968956,77.595522",cropped_images/bloomington17.jpg,27,Corporate,17.8
B043,"12.965234,77.599068",cropped_images/bloomington18.jpg,11,Corporate,15.5
B044,"12.977177,77.597006",cropped_images/bloomington19.jpg,33,Residential,8.3
B045,"12.968357,77.596016",cropped_images/bloomington2.jpg,19,Residential,10.4
B046,"12.96703,77.590461",cropped_images/bloomington20.jpg,31,Residential,16.6
B047,"12.970257,77.585478",cropped_images/bloomington21.jpg,13,Corporate,12.3
B048,"12.964798,77.589776",cropped_images/bloomington22.jpg,25,Residential,16.9
B049,"12.973116,77.592869",cropped_images/bloomington23.jpg,19,Corporate,10.1
B050,"12.967526,77.591256",cropped_images/bloomington24.jpg,27,Corporate,8.9
B051,"12.965707,77.586866",cropped_images/bloomington25.jpg,21,Corporate,13.2
B052,"12.980469,77.585886",cropped_images/bloomington26.jpg,29,Residential,16.1
B053,"12.971099,77.602507",cropped_images/bloomington27.jpg,14,Residential,16.2
B054,"12.975249,77.58766",cropped_images/bloomington28.jpg,20,Residential,10.4
B055,"12.977487,77.591067",cropped_images/bloomington29.jpg,11,Corporate,9.7
B056,"12.965456,77.601985",cropped_images/bloomington3.jpg,18,Residential,13.9
B057,"12.964638,77.58667",cropped_images/bloomington30.jpg,18,Residential,14.4
B058,"12.97713,77.592107",cropped_images/bloomington31.jpg,33,Corporate,16.0
B059,"12.980439,77.596263",cropped_images/bloomington32.jpg,21,Corporate,12.1
B060,"12.972095,77.585965",cropped_images/bloomington33.jpg,36,Residential,12.7
B061,"12.968656,77.59188",cropped_images/bloomington34.jpg,19,Corporate,9.9
B062,"12.979804,77.588929",cropped_images/bloomington35.jpg,24,Corporate,15.7
B063,"12.971556,77.602497",cropped_images/bloomington36.jpg,15,Corporate,14.2
B064,"12.962486,77.601578",cropped_images/bloomington4.jpg,14,Corporate,14.7
B065,"12.974566,77.596612",cropped_images/bloomington5.jpg,22,Corporate,11.7
B066,"12.974758,77.599822",cropped_images/bloomington6.jpg,16,Corporate,14.4
B067,"12.979797,77.589781",cropped_images/bloomington7.jpg,23,Residential,13.6
B068,"12.967173,77.590315",cropped_images/bloomington8.jpg,12,Corporate,9.5
B069,"12.972063,77.589531",cropped_images/bloomington9.jpg,26,Corporate,12.0
B070,"12.977678,77.594455",cropped_images/innsb.jpg,18,Corporate,8.9
B071,"12.961987,77.604489",cropped_images/innsbruc.jpg,29,Residential,15.6
B072,"12.98115,77.593453",cropped_images/innsbruck.jpg,35,Residential,17.7
B073,"12.980863,77.596343",cropped_images/innsbruck1.jpg,31,Corporate,15.3
B074,"12.978339,77.589769",cropped_images/innsbruck10.jpg,13,Corporate,14.7
B075,"12.967937,77.601981",cropped_images/innsbruck11.jpg,32,Residential,9.5
B076,"12.968988,77.603305",cropped_images/innsbruck12.jpg,36,Corporate,17.3
B077,"12.965966,77.585005",cropped_images/innsbruck13.jpg,13,Corporate,16.3
B078,"12.980177,77.589509",cropped_images/innsbruck14.jpg,25,Corporate,11.9
B079,"12.968358,77.587821",cropped_images/innsbruck15.jpg,21,Residential,10.3
B080,"12.975933,77.602464",cropped_images/innsbruck16.jpg,15,Residential,14.7
B081,"12.961743,77.598095",cropped_images/innsbruck17.jpg,20,Residential,17.3
B082,"12.963779,77.590614",cropped_images/innsbruck18.jpg,37,Corporate,14.2
B083,"12.965826,77.59299",cropped_images/innsbruck19.jpg,19,Residential,10.8
B084,"12.973644,77.597618",cropped_images/innsbruck2.jpg,17,Residential,17.3
B085,"12.969614,77.595",cropped_images/innsbruck20.jpg,27,Residential,15.8
B086,"12.964399,77.596116",cropped_images/innsbruck21.jpg,26,Corporate,15.8
B087,"12.966086,77.597748",cropped_images/innsbruck22.jpg,11,Residential,11.5
B088,"12.961928,77.603522",cropped_images/innsbruck23.jpg,36,Residential,11.6
B089,"12.964063,77.589927",cropped_images/innsbruck24.jpg,28,Corporate,16.5
B090,"12.97212,77.589664",cropped_images/innsbruck25.jpg,38,Corporate,8.6
B091,"12.974438,77.597166",cropped_images/innsbruck26.jpg,29,Residential,14.1
B092,"12.9716,77.595857",cropped_images/innsbruck27.jpg,12,Residential,13.1
B093,"12.965327,77.603431",cropped_images/innsbruck3.jpg,31,Corporate,9.7
B094,"12.963335,77.598534",cropped_images/innsbruck4.jpg,23,Residential,11.9
B095,"12.973082,77.586858",cropped_images/innsbruck5.jpg,16,Corporate,11.9
B096,"12.962599,77.592375",cropped_images/innsbruck6.jpg,21,Residential,12.6
B097,"12.979807,77.604149",cropped_images/innsbruck7.jpg,18,Residential,17.2
B098,"12.963807,77.591712",cropped_images/innsbruck8.jpg,11,Corporate,16.6
B099,"12.977922,77.594852",cropped_images/innsbruck9.jpg,37,Residential,12.0
B100,"12.961716,77.596454",cropped_images/insbruck5.jpg,18,Residential,13.2
